CO,Date,Main Pollutant,NO2,Overall AQI Value,Ozone,PM10,PM25,Site ID (of Overall AQI),Site Name (of Overall AQI),Source (of Overall AQI),source_file
11,11/05/2017,PM2.5,25,53,36,19,53,06-037-1201,Reseda,AQS,aqidaily2017.csv
10,11/06/2017,PM2.5,34,55,41,24,55,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2017.csv
11,11/07/2017,PM2.5,48,56,42,20,56,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2017.csv
14,11/08/2017,PM2.5,48,55,32,20,55,06-037-1201,Reseda,AQS,aqidaily2017.csv
9,11/09/2017,PM2.5,33,54,35,16,54,06-037-1201,Reseda,AQS,aqidaily2017.csv
9,11/10/2017,PM2.5,32,62,38,22,62,06-037-1201,Reseda,AQS,aqidaily2017.csv
17,11/11/2017,PM2.5,34,69,45,31,69,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2017.csv
16,11/12/2017,PM2.5,41,93,41,38,93,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2017.csv
22,11/13/2017,PM2.5,70,90,46,45,90,06-059-0007,Anaheim,AQS,aqidaily2017.csv
20,11/14/2017,PM2.5,72,95,47,51,95,06-059-0007,Anaheim,AQS,aqidaily2017.csv
23,11/15/2017,PM2.5,80,92,38,55,92,06-059-0007,Anaheim,AQS,aqidaily2017.csv
28,11/16/2017,PM2.5,88,88,33,46,88,06-059-0007,Anaheim,AQS,aqidaily2017.csv
13,11/17/2017,PM2.5,36,55,31,22,55,06-037-1201,Reseda,AQS,aqidaily2017.csv
15,11/18/2017,PM2.5,40,63,43,24,63,06-059-0007,Anaheim,AQS,aqidaily2017.csv
17,11/19/2017,PM2.5,45,71,44,31,71,06-059-0007,Anaheim,AQS,aqidaily2017.csv
20,11/20/2017,PM2.5,60,77,43,40,77,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
27,11/21/2017,NO2,79,79,38,58,78,06-059-0008,Anaheim Near-Road,AQS,aqidaily2017.csv
30,11/22/2017,NO2,85,85,39,40,71,06-059-0008,Anaheim Near-Road,AQS,aqidaily2017.csv
23,11/23/2017,PM2.5,50,59,44,23,59,06-037-1201,Reseda,AQS,aqidaily2017.csv
26,11/24/2017,PM2.5,60,77,58,35,77,06-037-1302,Compton,AQS,aqidaily2017.csv
25,11/25/2017,PM2.5,51,83,71,40,83,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2017.csv
19,11/26/2017,PM2.5,38,126,71,43,126,06-059-0007,Anaheim,AQS,aqidaily2017.csv
14,11/27/2017,PM2.5,42,74,42,35,74,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2017.csv
15,11/28/2017,PM2.5,57,62,38,33,62,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
16,11/29/2017,PM2.5,53,71,39,33,71,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
27,11/30/2017,PM2.5,70,82,43,43,82,06-037-4004,Long Beach (South),AQS,aqidaily2017.csv
18,12/01/2017,PM2.5,60,80,38,42,80,06-059-0007,Anaheim,AQS,aqidaily2017.csv
30,12/02/2017,PM2.5,60,82,37,38,82,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
23,12/03/2017,PM2.5,37,80,41,31,80,06-037-1302,Compton,AQS,aqidaily2017.csv
14,12/04/2017,PM10,52,87,43,87,64,06-059-0007,Anaheim,AQS,aqidaily2017.csv
24,12/05/2017,PM10,68,79,44,79,73,06-059-0007,Anaheim,AQS,aqidaily2017.csv
26,12/06/2017,PM2.5,96,107,40,19,107,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
18,12/07/2017,NO2,91,91,41,34,86,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
28,12/08/2017,PM2.5,68,101,36,32,101,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
35,12/09/2017,PM2.5,54,73,40,47,73,06-037-1302,Compton,AQS,aqidaily2017.csv
28,12/10/2017,PM2.5,50,66,39,22,66,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
33,12/11/2017,PM2.5,66,71,34,34,71,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
34,12/12/2017,PM2.5,86,90,35,38,90,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
40,12/13/2017,PM2.5,77,90,34,47,90,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
31,12/14/2017,PM2.5,76,107,43,55,107,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
33,12/15/2017,PM2.5,69,100,47,60,100,06-037-1201,Reseda,AQS,aqidaily2017.csv
33,12/16/2017,PM2.5,52,91,44,64,91,06-037-1201,Reseda,AQS,aqidaily2017.csv
31,12/17/2017,PM2.5,42,90,40,35,90,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
19,12/18/2017,PM2.5,53,61,37,33,61,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
26,12/19/2017,PM2.5,57,77,34,43,77,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
24,12/20/2017,PM2.5,46,75,41,50,75,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
16,12/21/2017,NO2,62,62,43,54,55,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
24,12/22/2017,PM2.5,68,74,33,44,74,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
38,12/23/2017,PM2.5,48,86,33,39,86,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
31,12/24/2017,PM2.5,52,159,34,48,159,06-037-1302,Compton,AQS,aqidaily2017.csv
52,12/25/2017,PM2.5,57,175,41,56,175,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
26,12/26/2017,PM2.5,70,157,39,64,157,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
35,12/27/2017,PM2.5,87,155,38,71,155,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
32,12/28/2017,PM2.5,84,131,34,64,131,06-059-0007,Anaheim,AQS,aqidaily2017.csv
35,12/29/2017,PM2.5,80,91,35,53,91,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2017.csv
32,12/30/2017,PM2.5,61,115,42,42,115,06-037-1302,Compton,AQS,aqidaily2017.csv
18,12/31/2017,PM2.5,48,141,38,45,141,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2017.csv
40,01/01/2018,PM2.5,56,190,44,54,190,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
24,01/02/2018,PM2.5,67,160,36,70,160,06-059-0007,Anaheim,AQS,aqidaily2018.csv
27,01/03/2018,PM2.5,84,134,28,60,134,06-059-0007,Anaheim,AQS,aqidaily2018.csv
24,01/04/2018,PM2.5,62,98,39,47,98,06-059-0007,Anaheim,AQS,aqidaily2018.csv
17,01/05/2018,PM2.5,56,73,31,28,73,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
14,01/06/2018,PM2.5,38,70,35,31,70,06-059-0007,Anaheim,AQS,aqidaily2018.csv
13,01/07/2018,PM2.5,37,93,35,30,93,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
15,01/08/2018,PM2.5,42,76,24,29,76,06-059-0007,Anaheim,AQS,aqidaily2018.csv
10,01/09/2018,PM2.5,43,56,39,6,56,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,01/10/2018,PM2.5,37,68,32,20,68,06-037-1201,Reseda,AQS,aqidaily2018.csv
19,01/11/2018,PM2.5,48,85,31,34,85,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
26,01/12/2018,PM2.5,62,112,36,49,112,06-037-4004,Long Beach (South),AQS,aqidaily2018.csv
25,01/13/2018,PM2.5,45,60,43,20,60,06-037-4004,Long Beach (South),AQS,aqidaily2018.csv
17,01/14/2018,PM2.5,47,56,41,25,56,06-037-1302,Compton,AQS,aqidaily2018.csv
22,01/15/2018,PM2.5,62,83,40,26,83,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
18,01/16/2018,PM2.5,68,93,37,44,93,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
24,01/17/2018,PM2.5,71,98,35,54,98,06-059-0007,Anaheim,AQS,aqidaily2018.csv
26,01/18/2018,PM2.5,57,84,37,42,84,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
11,01/19/2018,PM2.5,38,72,37,30,72,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,01/20/2018,PM2.5,35,51,40,39,51,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,01/21/2018,PM2.5,40,61,38,31,61,06-037-4004,Long Beach (South),AQS,aqidaily2018.csv
19,01/22/2018,PM2.5,44,64,39,36,64,06-037-4004,Long Beach (South),AQS,aqidaily2018.csv
15,01/23/2018,PM2.5,49,61,36,28,61,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
16,01/24/2018,PM2.5,48,55,41,26,55,06-037-1201,Reseda,AQS,aqidaily2018.csv
16,01/25/2018,PM2.5,41,59,39,27,59,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
16,01/26/2018,PM2.5,44,61,40,30,61,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
23,01/27/2018,PM2.5,48,69,42,30,69,06-037-4004,Long Beach (South),AQS,aqidaily2018.csv
30,01/28/2018,PM2.5,45,72,42,36,72,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
31,01/29/2018,NO2,68,68,35,21,65,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
18,01/30/2018,PM2.5,56,58,31,32,58,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
26,01/31/2018,NO2,78,78,38,32,72,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
28,02/01/2018,PM2.5,88,101,48,56,101,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
23,02/02/2018,PM2.5,85,95,58,25,95,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
32,02/03/2018,PM2.5,89,109,97,29,109,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
20,02/04/2018,PM2.5,54,98,87,20,98,06-037-1302,Compton,AQS,aqidaily2018.csv
20,02/05/2018,PM2.5,47,89,51,26,89,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
13,02/06/2018,PM2.5,50,109,43,35,109,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
18,02/07/2018,PM2.5,64,82,42,44,82,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
25,02/08/2018,NO2,81,81,42,28,78,06-037-4006,Long Beach (Hudson),AQS,aqidaily2018.csv
18,02/09/2018,PM2.5,46,73,46,31,73,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
13,02/10/2018,PM2.5,33,89,44,42,89,06-037-1201,Reseda,AQS,aqidaily2018.csv
23,02/11/2018,PM2.5,32,76,47,64,76,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
10,02/12/2018,PM2.5,33,57,42,31,57,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,02/13/2018,PM2.5,41,56,43,16,56,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,02/14/2018,PM2.5,51,60,41,16,60,06-037-1201,Reseda,AQS,aqidaily2018.csv
14,02/15/2018,PM2.5,51,61,44,23,61,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
18,02/16/2018,NO2,58,58,48,18,55,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
16,02/17/2018,PM2.5,42,60,50,24,60,06-037-4004,Long Beach (South),AQS,aqidaily2018.csv
17,02/18/2018,PM2.5,34,61,54,17,61,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,02/19/2018,PM10,26,65,43,65,58,06-037-4006,Long Beach (Hudson),AQS,aqidaily2018.csv
11,02/20/2018,PM2.5,51,57,42,19,57,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
13,02/21/2018,PM2.5,50,54,44,19,54,06-037-1201,Reseda,AQS,aqidaily2018.csv
14,02/22/2018,PM2.5,42,65,44,18,65,06-037-1201,Reseda,AQS,aqidaily2018.csv
14,02/23/2018,PM2.5,40,53,45,23,53,06-037-1201,Reseda,AQS,aqidaily2018.csv
16,02/24/2018,PM2.5,42,56,46,14,56,06-037-4004,Long Beach (South),AQS,aqidaily2018.csv
14,02/25/2018,PM2.5,43,55,49,23,55,06-037-1302,Compton,AQS,aqidaily2018.csv
23,02/26/2018,PM2.5,56,58,48,22,58,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,02/27/2018,PM2.5,47,53,43,12,53,06-037-1201,Reseda,AQS,aqidaily2018.csv
14,02/28/2018,PM2.5,47,64,45,12,64,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,03/01/2018,PM2.5,41,63,44,17,63,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,03/02/2018,PM2.5,32,56,39,9,56,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,03/03/2018,PM2.5,31,55,44,12,55,06-037-1201,Reseda,AQS,aqidaily2018.csv
14,03/04/2018,PM2.5,34,62,43,7,62,06-037-1201,Reseda,AQS,aqidaily2018.csv
15,03/05/2018,NO2,51,51,47,7,46,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
15,03/06/2018,NO2,60,60,47,10,45,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
18,03/07/2018,PM2.5,61,63,37,21,63,06-059-0007,Anaheim,AQS,aqidaily2018.csv
18,03/08/2018,PM2.5,60,67,44,24,67,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
10,03/09/2018,PM2.5,44,71,39,26,71,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,03/10/2018,PM2.5,25,78,27,22,78,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,03/11/2018,PM2.5,26,58,34,9,58,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,03/12/2018,PM2.5,31,66,41,25,66,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
8,03/13/2018,PM2.5,33,65,31,24,65,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
7,03/14/2018,PM2.5,27,51,41,7,51,06-037-1201,Reseda,AQS,aqidaily2018.csv
7,03/15/2018,Ozone,28,45,45,19,42,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,03/16/2018,PM2.5,31,53,42,12,53,06-037-1201,Reseda,AQS,aqidaily2018.csv
7,03/17/2018,PM2.5,22,51,43,7,51,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,03/18/2018,PM2.5,25,58,44,11,58,06-037-1201,Reseda,AQS,aqidaily2018.csv
14,03/19/2018,PM2.5,49,58,46,11,58,06-037-1201,Reseda,AQS,aqidaily2018.csv
14,03/20/2018,PM2.5,43,61,44,22,61,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
10,03/21/2018,PM2.5,48,64,40,21,64,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,03/22/2018,PM2.5,29,62,35,10,62,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,03/23/2018,PM2.5,33,57,45,11,57,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,03/24/2018,PM2.5,25,59,46,16,59,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,03/25/2018,PM2.5,22,55,49,14,55,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,03/26/2018,PM2.5,41,50,46,14,50,06-037-4008,Long Beach-Route 710 Near Road,AQS,aqidaily2018.csv
10,03/27/2018,PM2.5,42,52,50,30,52,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
11,03/28/2018,PM2.5,41,62,54,20,62,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,03/29/2018,Ozone,50,84,84,31,81,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,03/30/2018,Ozone,41,105,105,37,83,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,03/31/2018,PM2.5,43,91,90,33,91,06-037-4004,Long Beach (South),AQS,aqidaily2018.csv
10,04/01/2018,PM2.5,17,85,61,33,85,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
11,04/02/2018,PM2.5,31,76,58,23,76,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,04/03/2018,PM2.5,36,70,61,35,70,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,04/04/2018,PM2.5,29,83,77,48,83,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
9,04/05/2018,PM2.5,30,101,51,51,101,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
10,04/06/2018,PM2.5,34,67,50,37,67,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,04/07/2018,PM2.5,20,61,40,24,61,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,04/08/2018,PM2.5,31,60,50,28,60,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
14,04/09/2018,Ozone,77,87,87,40,71,06-037-0002,Azusa,AQS,aqidaily2018.csv
14,04/10/2018,Ozone,52,112,112,35,70,06-059-2022,Mission Viejo,AQS,aqidaily2018.csv
10,04/11/2018,Ozone,43,71,71,31,69,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
10,04/12/2018,Ozone,42,58,58,35,53,06-037-0002,Azusa,AQS,aqidaily2018.csv
14,04/13/2018,Ozone,57,64,64,39,55,06-059-2022,Mission Viejo,AQS,aqidaily2018.csv
18,04/14/2018,Ozone,49,112,112,40,66,06-037-0002,Azusa,AQS,aqidaily2018.csv
13,04/15/2018,Ozone,38,87,87,29,65,06-037-0002,Azusa,AQS,aqidaily2018.csv
10,04/16/2018,PM2.5,34,61,47,22,61,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,04/17/2018,Ozone,51,61,61,19,52,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,04/18/2018,Ozone,52,87,87,19,55,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,04/19/2018,PM2.5,33,55,47,17,55,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,04/20/2018,PM2.5,33,63,54,30,63,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,04/21/2018,Ozone,36,112,112,28,71,06-059-2022,Mission Viejo,AQS,aqidaily2018.csv
11,04/22/2018,Ozone,33,105,105,25,75,06-037-0002,Azusa,AQS,aqidaily2018.csv
10,04/23/2018,Ozone,33,101,101,41,85,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
10,04/24/2018,Ozone,42,108,108,45,93,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
11,04/25/2018,Ozone,38,112,112,48,85,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
10,04/26/2018,PM2.5,40,74,67,44,74,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
11,04/27/2018,PM2.5,29,73,64,38,73,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,04/28/2018,PM2.5,27,66,58,33,66,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,04/29/2018,PM2.5,21,63,58,27,63,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,04/30/2018,PM2.5,29,64,46,26,64,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,05/01/2018,PM2.5,34,69,54,21,69,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,05/02/2018,PM2.5,34,70,44,23,70,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,05/03/2018,PM2.5,40,69,54,26,69,06-037-1201,Reseda,AQS,aqidaily2018.csv
15,05/04/2018,Ozone,51,105,105,31,68,06-037-1201,Reseda,AQS,aqidaily2018.csv
14,05/05/2018,Ozone,42,133,133,31,68,06-037-0002,Azusa,AQS,aqidaily2018.csv
11,05/06/2018,Ozone,34,108,108,28,69,06-037-0002,Azusa,AQS,aqidaily2018.csv
11,05/07/2018,Ozone,44,108,108,35,70,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
10,05/08/2018,Ozone,33,164,164,44,78,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
10,05/09/2018,Ozone,31,122,122,47,83,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
11,05/10/2018,Ozone,28,87,87,47,80,06-037-0016,Glendora,AQS,aqidaily2018.csv
10,05/11/2018,PM2.5,22,68,47,36,68,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,05/12/2018,PM2.5,16,61,45,23,61,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,05/13/2018,PM2.5,21,61,47,15,61,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,05/14/2018,PM2.5,29,65,64,28,65,06-037-1201,Reseda,AQS,aqidaily2018.csv
10,05/15/2018,Ozone,25,77,77,23,66,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
11,05/16/2018,Ozone,33,71,71,21,60,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
10,05/17/2018,PM2.5,28,64,64,26,64,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,05/18/2018,PM2.5,27,73,71,28,73,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,05/19/2018,PM2.5,23,78,58,26,78,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,05/20/2018,PM2.5,17,72,54,26,72,06-037-1201,Reseda,AQS,aqidaily2018.csv
13,05/21/2018,PM2.5,32,66,46,21,66,06-037-1201,Reseda,AQS,aqidaily2018.csv
11,05/22/2018,PM2.5,28,67,64,22,67,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,05/23/2018,PM2.5,38,67,67,23,67,06-037-1201,Reseda,AQS,aqidaily2018.csv
7,05/24/2018,Ozone,27,64,64,25,63,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
7,05/25/2018,PM2.5,29,56,45,13,56,06-037-1201,Reseda,AQS,aqidaily2018.csv
7,05/26/2018,PM2.5,20,61,42,22,61,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,05/27/2018,PM2.5,19,72,54,19,72,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,05/28/2018,Ozone,19,90,90,32,74,06-037-0002,Azusa,AQS,aqidaily2018.csv
8,05/29/2018,Ozone,27,93,93,38,87,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
7,05/30/2018,PM2.5,22,63,54,26,63,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,05/31/2018,PM2.5,29,62,51,21,62,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,06/01/2018,Ozone,34,87,87,30,68,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
8,06/02/2018,Ozone,31,136,136,30,73,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
8,06/03/2018,Ozone,27,133,133,31,79,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,06/04/2018,Ozone,28,129,129,61,83,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
8,06/05/2018,PM2.5,25,83,74,42,83,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,06/06/2018,Ozone,36,84,84,36,78,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
9,06/07/2018,Ozone,36,105,105,33,78,06-037-1201,Reseda,AQS,aqidaily2018.csv
9,06/08/2018,Ozone,46,140,140,35,74,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
10,06/09/2018,Ozone,36,122,122,45,75,06-037-0002,Azusa,AQS,aqidaily2018.csv
9,06/10/2018,Ozone,33,101,101,34,70,06-037-0002,Azusa,AQS,aqidaily2018.csv
9,06/11/2018,Ozone,32,140,140,44,71,06-037-0016,Glendora,AQS,aqidaily2018.csv
8,06/12/2018,Ozone,37,119,119,50,77,06-037-0016,Glendora,AQS,aqidaily2018.csv
8,06/13/2018,Ozone,35,126,126,48,75,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,06/14/2018,Ozone,41,108,108,35,83,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,06/15/2018,PM2.5,31,76,74,36,76,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,06/16/2018,PM2.5,18,72,47,31,72,06-037-1201,Reseda,AQS,aqidaily2018.csv
7,06/17/2018,PM2.5,12,64,45,19,64,06-037-1201,Reseda,AQS,aqidaily2018.csv
8,06/18/2018,Ozone,32,74,74,23,69,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
8,06/19/2018,Ozone,28,115,115,36,77,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
8,06/20/2018,Ozone,31,172,172,45,88,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
9,06/21/2018,Ozone,26,172,172,50,106,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
9,06/22/2018,Ozone,30,185,185,45,95,06-037-0016,Glendora,AQS,aqidaily2018.csv
8,06/23/2018,Ozone,21,126,126,33,90,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
8,06/24/2018,Ozone,12,122,122,27,74,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
8,06/25/2018,Ozone,27,126,126,34,71,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
9,06/26/2018,Ozone,34,126,126,32,66,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
9,06/27/2018,Ozone,28,115,115,39,73,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
9,06/28/2018,Ozone,25,115,115,33,77,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
8,06/29/2018,Ozone,20,93,93,32,74,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
8,06/30/2018,Ozone,13,101,101,28,68,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
9,07/01/2018,Ozone,15,90,90,23,64,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
9,07/02/2018,Ozone,25,93,93,27,61,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
9,07/03/2018,Ozone,22,84,84,30,63,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
9,07/04/2018,PM2.5,19,118,93,45,118,06-037-1602,Pico Rivera #2,AQS,aqidaily2018.csv
10,07/05/2018,PM2.5,39,172,122,74,172,06-037-0016,Glendora,AQS,aqidaily2018.csv
14,07/06/2018,Ozone,56,156,156,39,70,06-059-2022,Mission Viejo,AQS,aqidaily2018.csv
11,07/07/2018,Ozone,40,185,185,54,73,06-037-0002,Azusa,AQS,aqidaily2018.csv
10,07/08/2018,Ozone,26,122,122,33,71,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
11,07/09/2018,Ozone,33,108,108,68,75,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
10,07/10/2018,Ozone,29,108,108,51,74,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
10,07/11/2018,Ozone,29,90,90,49,64,06-037-9033,Lancaster-Division Street,AQS,aqidaily2018.csv
11,07/12/2018,PM2.5,25,61,58,40,61,06-037-1103,Los Angeles-North Main Street,AQS,aqidaily2018.csv
11,07/13/2018,Ozone,30,80,80,46,66,06-037-6012,Santa Clarita,AQS,aqidaily2018.csv
